evento_id,cliente_id,session_id,tipo_evento,timestamp,producto_id,dispositivo,pais,duracion_seg,data_owner,clasificacion_dato,motivo_error
EVT-0003779,CLI-00010,SES-00000031,page_view,2024-09-01 15:35:09,,desktop,Colombia,,analytics@retailtech.co,público,Nulo crítico en: duracion_seg
EVT-0003788,CLI-00247,SES-00000366,checkout,2023-06-18 15:05:16,,tablet,México,,analytics@retailtech.co,público,Nulo crítico en: duracion_seg
EVT-0003790,CLI-00147,SES-00001797,checkout,2024-06-10 07:05:31,,desktop,Ecuador,,analytics@retailtech.co,público,Nulo crítico en: duracion_seg
EVT-0003796,CLI-00200,SES-00001547,checkout,2023-05-25 06:57:00,,mobile,Colombia,,analytics@retailtech.co,público,Nulo crítico en: duracion_seg
EVT-0003842,CLI-00274,SES-00000161,add_to_cart,2023-09-21 19:46:40,PROD-0030,tablet,Argentina,,analytics@retailtech.co,público,Nulo crítico en: duracion_seg
EVT-0003854,CLI-00296,SES-00001904,page_view,2023-06-26 20:55:07,,desktop,Colombia,,analytics@retailtech.co,público,Nulo crítico en: duracion_seg
EVT-0003862,,SES-00001808,page_view,2024-03-18 03:13:43,,mobile,Argentina,,analytics@retailtech.co,público,Nulo crítico en: duracion_seg
EVT-0003865,CLI-00197,SES-00000394,page_view,2024-02-05 17:59:07,,tablet,México,,analytics@retailtech.co,público,Nulo crítico en: duracion_seg
EVT-0003926,,SES-00001834,page_view,2023-03-14 17:24:36,,tablet,Colombia,,analytics@retailtech.co,público,Nulo crítico en: duracion_seg
EVT-0003947,CLI-00128,SES-00000959,page_view,2023-04-10 01:14:06,,desktop,Colombia,,analytics@retailtech.co,público,Nulo crítico en: duracion_seg
EVT-0003981,CLI-00295,SES-00001721,search,2024-03-05 04:22:05,,tablet,Colombia,,analytics@retailtech.co,público,Nulo crítico en: duracion_seg
